,address,name,score,type
0,"-8.64119638136512,41.1258056476066,-8.59339531132096,41.1617364807528",Historical Center - Taipas Apartments,"{'global': 9.0, 'staff': 9.4, 'commodities': 8.6, 'cleanliness': 9.0, 'confort': 8.5, 'price/quality': 8.8, 'location': 9.5, 'free-wifi': 9.3}",Apartamento 
1,"-8.63652588713775,41.127241420398,-8.58872377049611,41.1631722535442",Caldeireiros Feel at Hom,"{'global': 9.4, 'staff': 9.7, 'commodities': 9.1, 'cleanliness': 9.7, 'confort': 9.1, 'price/quality': 9.0, 'location': 9.8, 'free-wifi': 10.0}",Apartamento 
2,"-8.63675247960119,41.1256535834269,-8.58895152039881,41.1615844165731",Villa Mouzinho Apartments & Suites,"{'global': 9.2, 'staff': 8.5, 'commodities': 9.2, 'cleanliness': 9.4, 'confort': 9.2, 'price/quality': 9.0, 'location': 9.8, 'free-wifi': 9.1}",Casa de hóspedes 
3,"-8.63906175672274,41.129908051809,-8.59125769605579,41.1658388849552",BO - Sá de Noronha Apartments,"{'global': 9.8, 'staff': 9.9, 'commodities': 9.8, 'cleanliness': 9.9, 'confort': 9.8, 'price/quality': 9.5, 'location': 9.8, 'free-wifi': 9.8}",Apartamento 
4,"-8.62863120423568,41.1266330303766,-8.58082953108536,41.1625638635228",Porto Duke's Hous,"{'global': 9.7, 'staff': 9.8, 'commodities': 9.7, 'cleanliness': 9.8, 'confort': 9.5, 'price/quality': 9.5, 'location': 9.7, 'free-wifi': 9.2}",Apartamento 
5,"-8.64125901281481,41.1247068307935,-8.59345874369497,41.1606376639397",Shining View,"{'global': 9.6, 'staff': 9.7, 'commodities': 9.5, 'cleanliness': 9.7, 'confort': 9.3, 'price/quality': 9.3, 'location': 9.7, 'free-wifi': 9.3}",Apartamento 
6,"-8.63607147759963,41.1276480667179,-8.58826906452196,41.1635788998641",HM - Loios Trendy Apartmen,"{'global': 9.2, 'staff': 9.0, 'commodities': 9.0, 'cleanliness': 9.1, 'confort': 8.9, 'price/quality': 9.0, 'location': 9.9, 'free-wifi': 8.3}",Apartamento 
7,"-8.64198425997868,41.1264848445615,-8.59418269484765,41.1624156777077",Cosy Virtudes Apartmen,"{'global': 9.2, 'staff': 9.4, 'commodities': 8.8, 'cleanliness': 9.3, 'confort': 8.9, 'price/quality': 9.1, 'location': 9.6, 'free-wifi': 9.3}",Apartamento 
8,"-8.6271657983763,41.1447282948285,-8.57935092869897,41.1806591279747",Casa Marquês,"{'global': 9.5, 'staff': 9.5, 'commodities': 9.5, 'cleanliness': 9.6, 'confort': 9.2, 'price/quality': 9.6, 'location': 9.2}",Apartamento 
9,"-8.63594551779615,41.1227598700393,-8.58814666770114,41.1586907031855",Ribeira 24,"{'global': 8.5, 'staff': 8.3, 'commodities': 8.1, 'cleanliness': 8.7, 'confort': 8.3, 'price/quality': 8.2, 'location': 9.4, 'free-wifi': 8.3}",Apartamento 
10,"-8.62467342465767,41.1298179905003,-8.57686942965141,41.1657488236465",the gallery Studios II,"{'global': 9.2, 'staff': 9.1, 'commodities': 9.2, 'cleanliness': 9.4, 'confort': 9.0, 'price/quality': 9.2, 'location': 8.9, 'free-wifi': 9.3}",Apartamento 
11,"-8.63271164941855,41.1233755834269,-8.58491235058145,41.1593064165731",Guindais Oporto Hous,"{'global': 9.7, 'staff': 9.9, 'commodities': 9.8, 'cleanliness': 9.8, 'confort': 9.6, 'price/quality': 9.3, 'location': 9.9, 'free-wifi': 7.5}",Casa de férias 
12,"-8.63118881811692,41.1306622377799,-8.58338420758651,41.1665930709261",B The Guest Downtown,"{'global': 9.3, 'staff': 9.7, 'commodities': 8.9, 'cleanliness': 9.6, 'confort': 8.9, 'price/quality': 8.9, 'location': 9.6, 'free-wifi': 9.4}",Casa de hóspedes 
13,"-8.6392437739299,41.1244031756971,-8.59144372613552,41.1603340088433",Porto Downtown Flats,"{'global': 9.6, 'staff': 9.8, 'commodities': 9.4, 'cleanliness': 9.6, 'confort': 9.3, 'price/quality': 9.4, 'location': 9.8, 'free-wifi': 9.6}",Apartamento 
14,"-8.60665083119212,41.1462743550129,-8.55883483344389,41.1822051881591",Chão De Memórias Apartments,"{'global': 9.4, 'staff': 9.3, 'commodities': 9.6, 'cleanliness': 9.6, 'confort': 9.7, 'price/quality': 9.0, 'location': 9.2, 'free-wifi': 9.6}",Apartamento 
15,"-8.63603982404854,41.129476781082,-8.58823607780394,41.1654076142282",Almada Wine Hous,"{'global': 9.4, 'staff': 9.5, 'commodities': 9.3, 'cleanliness': 9.5, 'confort': 9.4, 'price/quality': 9.1, 'location': 9.8, 'free-wifi': 9.0}",Apartamento 
16,"-8.62709948731136,41.1310923427726,-8.57929456318974,41.1670231759188",Liiiving in Porto | Light Spacious Apartmen,"{'global': 9.3, 'staff': 9.6, 'commodities': 8.9, 'cleanliness': 9.2, 'confort': 9.4, 'price/quality': 9.3, 'location': 9.2, 'free-wifi': 7.5}",Apartamento 
17,"-8.64166669720087,41.1311918040732,-8.59386170056066,41.1671226372194",bnapartments Carrega,"{'global': 9.3, 'staff': 9.3, 'commodities': 9.3, 'cleanliness': 9.5, 'confort': 9.2, 'price/quality': 9.0, 'location': 9.5, 'free-wifi': 9.1}",Apartamento 
18,"-8.64773727562909,41.1395786834322,-8.59992616269107,41.1755095165784",Serviced Apartments Boavista Palac,"{'global': 9.3, 'staff': 9.5, 'commodities': 9.4, 'cleanliness': 9.2, 'confort': 9.5, 'price/quality': 9.1, 'location': 8.9, 'free-wifi': 9.4}",Apartamento 
19,"-8.63583692475248,41.1345556834269,-8.58802947524765,41.1704865165731",Porto Vintage Guesthous,"{'global': 9.1, 'staff': 9.5, 'commodities': 8.8, 'cleanliness': 9.5, 'confort': 8.9, 'price/quality': 8.8, 'location': 9.1, 'free-wifi': 8.2}",Alojamento de acomodação e pequeno-almoço 
20,"-8.6371273676987,41.1273639564245,-8.58932516173169,41.1632947895707",Yours GuestHouse Por,"{'global': 9.2, 'staff': 9.6, 'commodities': 8.9, 'cleanliness': 9.3, 'confort': 8.6, 'price/quality': 8.9, 'location': 9.7, 'free-wifi': 9.0}",Casa de hóspedes 
21,"-8.61815075536082,41.1282114786449,-8.57034793155845,41.164142311791",Home Made Guest Studios,"{'global': 9.1, 'staff': 9.4, 'commodities': 9.0, 'cleanliness': 9.5, 'confort': 9.0, 'price/quality': 9.0, 'location': 8.5, 'free-wifi': 8.9}",Apartamento 
22,"-8.63590793376434,41.1273705417403,-8.58810572299681,41.1633013748865",Lóios,"{'global': 9.4, 'staff': 9.4, 'commodities': 9.3, 'cleanliness': 9.7, 'confort': 9.2, 'price/quality': 9.2, 'location': 9.8, 'free-wifi': 9.8}",Apartamento 
23,"-8.63879984434078,41.1315461773609,-8.59099458931922,41.1674770105071",Inn Oporto Downtown New Apartments,"{'global': 9.8, 'staff': 9.9, 'commodities': 9.8, 'cleanliness': 10.0, 'confort': 9.7, 'price/quality': 9.7, 'location': 9.5, 'free-wifi': 10.0}",Apartamento 
24,"-8.64122649563727,41.1256975834269,-8.59342550436273,41.1616284165731",Oporto Invite - Taipas (Historical Centre),"{'global': 9.2, 'staff': 9.0, 'commodities': 9.1, 'cleanliness': 9.2, 'confort': 9.2, 'price/quality': 9.1, 'location': 9.6, 'free-wifi': 8.9}",Apartamento 
25,"-8.62752770854638,41.1326015762262,-8.57972168398294,41.1685324093724",Sunday - Lovely Mezzanine in Opor,"{'global': 9.2, 'staff': 9.4, 'commodities': 9.1, 'cleanliness': 9.4, 'confort': 8.9, 'price/quality': 9.1, 'location': 9.2, 'free-wifi': 10.0}",Apartamento 
26,"-8.63649305728678,41.1272385834269,-8.58869094271322,41.1631694165731",Porto Emotions Caldeireiros,"{'global': 9.4, 'staff': 9.5, 'commodities': 9.3, 'cleanliness': 9.7, 'confort': 9.2, 'price/quality': 8.9, 'location': 9.9, 'free-wifi': 9.2}",Apartamento 
27,"-8.63753024499478,41.1325405479927,-8.58972426493107,41.1684713811389",Casa 45,"{'global': 9.5, 'staff': 9.8, 'commodities': 9.3, 'cleanliness': 9.8, 'confort': 9.2, 'price/quality': 9.3, 'location': 9.6, 'free-wifi': 9.7}",Casa de hóspedes 
28,"-8.64100569113939,41.1244711816126,-8.59320559377775,41.1604020147588",Belomonte River View Apartments,"{'global': 9.5, 'staff': 9.7, 'commodities': 9.6, 'cleanliness': 9.6, 'confort': 9.5, 'price/quality': 9.2, 'location': 9.7, 'free-wifi': 10.0}",Apartamento 
29,"-8.63155658755686,41.1314365834269,-8.58375141244314,41.1673674165731",Oporto Invite Bolhão Historical Mark,"{'global': 9.4, 'staff': 9.0, 'commodities': 9.4, 'cleanliness': 9.5, 'confort': 9.4, 'price/quality': 9.3, 'location': 9.6, 'free-wifi': 8.8}",Apartamento 
30,"-8.64230334920554,41.1352554183414,-8.59449538941753,41.1711862514876",Oporto Serviced Apartments - 1858,"{'global': 9.6, 'staff': 9.6, 'commodities': 9.6, 'cleanliness': 9.7, 'confort': 9.7, 'price/quality': 9.5, 'location': 9.3, 'free-wifi': 9.2}",Apartamento 
31,"-8.62959539116274,41.1281545834269,-8.58179260883726,41.1640854165731",Oporto Mezzanine Apartmen,"{'global': 9.5, 'staff': 9.8, 'commodities': 9.4, 'cleanliness': 9.6, 'confort': 9.4, 'price/quality': 9.2, 'location': 9.6, 'free-wifi': 9.6}",Apartamento 
32,"-8.62790967549834,41.1305805834269,-8.58010512450166,41.1665114165731",Casa da Oliveira,"{'global': 9.7, 'staff': 9.6, 'commodities': 9.6, 'cleanliness': 9.8, 'confort': 9.7, 'price/quality': 9.5, 'location': 9.6, 'free-wifi': 10.0}",Apartamento 
33,"-8.64046176934188,41.1286197825971,-8.5926586478805,41.1645506157433",Alma Guest Hous,"{'global': 7.9, 'staff': 7.3, 'commodities': 7.6, 'cleanliness': 7.6, 'confort': 7.6, 'price/quality': 8.0, 'location': 9.5}",Apartamento 
34,"-8.63186542843432,41.1233666129385,-8.58406613613516,41.1592974460847",RVA - Gustave Eiffel Apartments,"{'global': 9.2, 'staff': 9.2, 'commodities': 9.0, 'cleanliness': 9.3, 'confort': 9.0, 'price/quality': 8.9, 'location': 9.6, 'free-wifi': 8.7}",Apartamento 
35,"-8.63769907557566,41.1338722834269,-8.58989212442434,41.1698031165731",Loft Mártires,"{'global': 9.7, 'staff': 9.9, 'commodities': 9.7, 'cleanliness': 9.9, 'confort': 9.4, 'price/quality': 9.6, 'location': 9.7, 'free-wifi': 10.0}",Apartamento 
36,"-8.62618994520126,41.1324175834269,-8.57838405479874,41.1683484165731",D. João IV com Terraç,"{'global': 9.1, 'staff': 9.6, 'commodities': 9.1, 'cleanliness': 8.5, 'confort': 9.5, 'price/quality': 9.1, 'location': 9.0}",Apartamento 
37,"-8.62595021580475,41.1317405409512,-8.57814481906646,41.1676713740974",Oporto Emerald,"{'global': 9.7, 'staff': 9.9, 'commodities': 9.9, 'cleanliness': 10.0, 'confort': 9.6, 'price/quality': 9.3, 'location': 9.4}",Apartamento 
38,"-8.6265878278728,41.1263347834269,-8.57878637212726,41.1622656165731",Feel Porto Antique Fontaínhas,"{'global': 8.6, 'staff': 8.9, 'commodities': 8.6, 'cleanliness': 8.5, 'confort': 8.7, 'price/quality': 7.9, 'location': 8.8, 'free-wifi': 8.0}",Apartamento 
39,"-8.63857055876245,41.124433085713,-8.59077048916767,41.1603639188592",ORM - Ferreira Borges Apartmen,"{'global': 8.8, 'staff': 9.3, 'commodities': 8.6, 'cleanliness': 9.3, 'confort': 8.1, 'price/quality': 7.9, 'location': 9.6, 'free-wifi': 9.2}",Apartamento 
40,"-8.62835429311521,41.1388565834269,-8.58054370688479,41.1747874165731",Porto Downtown Sweet Hous,"{'global': 9.4, 'staff': 9.5, 'commodities': 9.3, 'cleanliness': 9.7, 'confort': 9.5, 'price/quality': 9.3, 'location': 9.0, 'free-wifi': 8.8}",Apartamento 
41,"-8.63881709952145,41.1315670150269,-8.59101182930655,41.1674978481731",Oportments - Oliveiras,"{'global': 9.7, 'staff': 9.9, 'commodities': 9.7, 'cleanliness': 9.9, 'confort': 9.6, 'price/quality': 9.6, 'location': 9.7}",Apartamento 
42,"-8.6426634051207,41.1331775059328,-8.59485696060204,41.169108339079",(Art District) Breyner Stonewa,"{'global': 9.4, 'staff': 9.6, 'commodities': 9.3, 'cleanliness': 9.5, 'confort': 9.3, 'price/quality': 9.2, 'location': 9.4, 'free-wifi': 10.0}",Apartamento 
43,"-8.63793688405649,41.1349925834269,-8.59012911594351,41.1709234165731",Porto Sunny House #2 - w/ free breakfast at bakery,"{'global': 8.8, 'staff': 9.1, 'commodities': 8.8, 'cleanliness': 9.1, 'confort': 8.4, 'price/quality': 8.8, 'location': 8.6, 'free-wifi': 7.5}",Apartamento 
44,"-8.63593628099868,41.1331529521046,-8.58812985438438,41.1690837852508",Andorinha Apartmen,"{'global': 9.2, 'staff': 9.6, 'commodities': 8.9, 'cleanliness': 9.4, 'confort': 8.9, 'price/quality': 9.1, 'location': 9.5, 'free-wifi': 10.0}",Apartamento 
45,"-8.63500029065012,41.1271008212402,-8.58719827650071,41.1630316543864",Stay in Apartments - S. Ben,"{'global': 8.1, 'staff': 8.1, 'commodities': 7.6, 'cleanliness': 8.5, 'confort': 7.4, 'price/quality': 7.5, 'location': 9.2, 'free-wifi': 8.8}",Apartamento 
46,"-8.6449883309097,41.1323783834269,-8.59718246909024,41.1683092165731",A Bela Aurora,"{'global': 9.4, 'staff': 9.8, 'commodities': 9.5, 'cleanliness': 9.8, 'confort': 9.3, 'price/quality': 8.9, 'location': 9.3, 'free-wifi': 10.0}",Alojamento de acomodação e pequeno-almoço 
47,"-8.63139143592345,41.1332149834269,-8.58358496407661,41.1691458165731",Bolhão Skyline Guest Hous,"{'global': 9.6, 'staff': 9.7, 'commodities': 9.2, 'cleanliness': 9.8, 'confort': 9.5, 'price/quality': 9.5, 'location': 9.5, 'free-wifi': 8.3}",Apartamento 
48,"-8.62673967677172,41.1288220065968,-8.57893640788409,41.164752839743",Porto Happy Flats,"{'global': 9.5, 'staff': 9.8, 'commodities': 9.3, 'cleanliness': 9.4, 'confort': 9.2, 'price/quality': 9.4, 'location': 9.6, 'free-wifi': 9.4}",Apartamento 
49,"-8.63798162720221,41.1247106496682,-8.59018135529887,41.1606414828144",Oporto Invite Ribeira (Historical Center),"{'global': 9.2, 'staff': 8.5, 'commodities': 8.9, 'cleanliness': 9.6, 'confort': 9.4, 'price/quality': 9.2, 'location': 9.7, 'free-wifi': 8.1}",Apartamento 
